yourlist:M202005078BC4D7ADE02784B0C2481C7F3DE0963A1A0CE37	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
P61326	P61326	MGN_HUMAN	reviewed	Protein mago nashi homolog	MAGOH MAGOHA	Homo sapiens (Human)	146
P52565	P52565	GDIR1_HUMAN	reviewed	Rho GDP-dissociation inhibitor 1 (Rho GDI 1) (Rho-GDI alpha)	ARHGDIA GDIA1	Homo sapiens (Human)	204
Q13129	Q13129	RLF_HUMAN	reviewed	Zinc finger protein Rlf (Rearranged L-myc fusion gene protein) (Zn-15-related protein)	RLF	Homo sapiens (Human)	1914
Q12967	Q12967	GNDS_HUMAN	reviewed	Ral guanine nucleotide dissociation stimulator (RalGDS) (Ral guanine nucleotide exchange factor) (RalGEF)	RALGDS KIAA1308 RGF	Homo sapiens (Human)	914
P68036	P68036	UB2L3_HUMAN	reviewed	Ubiquitin-conjugating enzyme E2 L3 (EC 2.3.2.23) (E2 ubiquitin-conjugating enzyme L3) (L-UBC) (UbcH7) (Ubiquitin carrier protein L3) (Ubiquitin-conjugating enzyme E2-F1) (Ubiquitin-protein ligase L3)	UBE2L3 UBCE7 UBCH7	Homo sapiens (Human)	154
P51610	P51610	HCFC1_HUMAN	reviewed	Host cell factor 1 (HCF) (HCF-1) (C1 factor) (CFF) (VCAF) (VP16 accessory protein) [Cleaved into: HCF N-terminal chain 1; HCF N-terminal chain 2; HCF N-terminal chain 3; HCF N-terminal chain 4; HCF N-terminal chain 5; HCF N-terminal chain 6; HCF C-terminal chain 1; HCF C-terminal chain 2; HCF C-terminal chain 3; HCF C-terminal chain 4; HCF C-terminal chain 5; HCF C-terminal chain 6]	HCFC1 HCF1 HFC1	Homo sapiens (Human)	2035
P23025	P23025	XPA_HUMAN	reviewed	DNA repair protein complementing XP-A cells (Xeroderma pigmentosum group A-complementing protein)	XPA XPAC	Homo sapiens (Human)	273
P33897	P33897	ABCD1_HUMAN	reviewed	ATP-binding cassette sub-family D member 1 (EC 7.6.2.4) (Adrenoleukodystrophy protein) (ALDP)	ABCD1 ALD	Homo sapiens (Human)	745
O43516	O43516	WIPF1_HUMAN	reviewed	WAS/WASL-interacting protein family member 1 (Protein PRPL-2) (Wiskott-Aldrich syndrome protein-interacting protein) (WASP-interacting protein)	WIPF1 WASPIP WIP	Homo sapiens (Human)	503
P29459	P29459	IL12A_HUMAN	reviewed	Interleukin-12 subunit alpha (IL-12A) (Cytotoxic lymphocyte maturation factor 35 kDa subunit) (CLMF p35) (IL-12 subunit p35) (NK cell stimulatory factor chain 1) (NKSF1)	IL12A NKSF1	Homo sapiens (Human)	219
Q13573	Q13573	SNW1_HUMAN	reviewed	SNW domain-containing protein 1 (Nuclear protein SkiP) (Nuclear receptor coactivator NCoA-62) (Ski-interacting protein)	SNW1 SKIIP SKIP	Homo sapiens (Human)	536
Q96QZ7	Q96QZ7	MAGI1_HUMAN	reviewed	Membrane-associated guanylate kinase, WW and PDZ domain-containing protein 1 (Atrophin-1-interacting protein 3) (AIP-3) (BAI1-associated protein 1) (BAP-1) (Membrane-associated guanylate kinase inverted 1) (MAGI-1) (Trinucleotide repeat-containing gene 19 protein) (WW domain-containing protein 3) (WWP3)	MAGI1 AIP3 BAIAP1 BAP1 TNRC19	Homo sapiens (Human)	1491
P62324	P62324	BTG1_HUMAN	reviewed	Protein BTG1 (B-cell translocation gene 1 protein)	BTG1	Homo sapiens (Human)	171
P78543	P78543	BTG2_HUMAN	reviewed	Protein BTG2 (BTG family member 2) (NGF-inducible anti-proliferative protein PC3)	BTG2 PC3	Homo sapiens (Human)	158
P09917	P09917	LOX5_HUMAN	reviewed	Arachidonate 5-lipoxygenase (5-LO) (5-lipoxygenase) (EC 1.13.11.34)	ALOX5 LOG5	Homo sapiens (Human)	674
P08047	P08047	SP1_HUMAN	reviewed	Transcription factor Sp1	SP1 TSFP1	Homo sapiens (Human)	785
P00846	P00846	ATP6_HUMAN	reviewed	ATP synthase subunit a (F-ATPase protein 6)	MT-ATP6 ATP6 ATPASE6 MTATP6	Homo sapiens (Human)	226
P03905	P03905	NU4M_HUMAN	reviewed	NADH-ubiquinone oxidoreductase chain 4 (EC 7.1.1.2) (NADH dehydrogenase subunit 4)	MT-ND4 MTND4 NADH4 ND4	Homo sapiens (Human)	459
P03915	P03915	NU5M_HUMAN	reviewed	NADH-ubiquinone oxidoreductase chain 5 (EC 7.1.1.2) (NADH dehydrogenase subunit 5)	MT-ND5 MTND5 NADH5 ND5	Homo sapiens (Human)	603
Q5VST9	Q5VST9	OBSCN_HUMAN	reviewed	Obscurin (EC 2.7.11.1) (Obscurin-RhoGEF) (Obscurin-myosin light chain kinase) (Obscurin-MLCK)	OBSCN KIAA1556 KIAA1639	Homo sapiens (Human)	7968
O75150	O75150	BRE1B_HUMAN	reviewed	E3 ubiquitin-protein ligase BRE1B (BRE1-B) (EC 2.3.2.27) (95 kDa retinoblastoma-associated protein) (RBP95) (RING finger protein 40) (RING-type E3 ubiquitin transferase BRE1B)	RNF40 BRE1B KIAA0661	Homo sapiens (Human)	1001
Q13416	Q13416	ORC2_HUMAN	reviewed	Origin recognition complex subunit 2	ORC2 ORC2L	Homo sapiens (Human)	577
Q7L523	Q7L523	RRAGA_HUMAN	reviewed	Ras-related GTP-binding protein A (Rag A) (RagA) (EC 3.6.5.-) (Adenovirus E3 14.7 kDa-interacting protein 1) (FIP-1)	RRAGA	Homo sapiens (Human)	313
P84022	P84022	SMAD3_HUMAN	reviewed	Mothers against decapentaplegic homolog 3 (MAD homolog 3) (Mad3) (Mothers against DPP homolog 3) (hMAD-3) (JV15-2) (SMAD family member 3) (SMAD 3) (Smad3) (hSMAD3)	SMAD3 MADH3	Homo sapiens (Human)	425
P43699	P43699	NKX21_HUMAN	reviewed	Homeobox protein Nkx-2.1 (Homeobox protein NK-2 homolog A) (Thyroid nuclear factor 1) (Thyroid transcription factor 1) (TTF-1) (Thyroid-specific enhancer-binding protein) (T/EBP)	NKX2-1 NKX2A TITF1 TTF1	Homo sapiens (Human)	371
O75436	O75436	VP26A_HUMAN	reviewed	Vacuolar protein sorting-associated protein 26A (Vesicle protein sorting 26A) (hVPS26)	VPS26A VPS26	Homo sapiens (Human)	327
Q96QK1	Q96QK1	VPS35_HUMAN	reviewed	Vacuolar protein sorting-associated protein 35 (hVPS35) (Maternal-embryonic 3) (Vesicle protein sorting 35)	VPS35 MEM3 TCCCTA00141	Homo sapiens (Human)	796
Q13596	Q13596	SNX1_HUMAN	reviewed	Sorting nexin-1	SNX1	Homo sapiens (Human)	522
O60749	O60749	SNX2_HUMAN	reviewed	Sorting nexin-2 (Transformation-related gene 9 protein) (TRG-9)	SNX2 TRG9	Homo sapiens (Human)	519
P50914	P50914	RL14_HUMAN	reviewed	60S ribosomal protein L14 (CAG-ISL 7) (Large ribosomal subunit protein eL14)	RPL14	Homo sapiens (Human)	215
Q13310	Q13310	PABP4_HUMAN	reviewed	Polyadenylate-binding protein 4 (PABP-4) (Poly(A)-binding protein 4) (Activated-platelet protein 1) (APP-1) (Inducible poly(A)-binding protein) (iPABP)	PABPC4 APP1 PABP4	Homo sapiens (Human)	644
P13051	P13051	UNG_HUMAN	reviewed	Uracil-DNA glycosylase (UDG) (EC 3.2.2.27)	UNG DGU UNG1 UNG15	Homo sapiens (Human)	313
Q15287	Q15287	RNPS1_HUMAN	reviewed	RNA-binding protein with serine-rich domain 1 (SR-related protein LDC2)	RNPS1 LDC2	Homo sapiens (Human)	305
Q9H270	Q9H270	VPS11_HUMAN	reviewed	Vacuolar protein sorting-associated protein 11 homolog (hVPS11) (RING finger protein 108)	VPS11 RNF108 PP3476	Homo sapiens (Human)	941
Q9H269	Q9H269	VPS16_HUMAN	reviewed	Vacuolar protein sorting-associated protein 16 homolog (hVPS16)	VPS16	Homo sapiens (Human)	839
Q6P5Z2	Q6P5Z2	PKN3_HUMAN	reviewed	Serine/threonine-protein kinase N3 (EC 2.7.11.13) (Protein kinase PKN-beta) (Protein-kinase C-related kinase 3)	PKN3 PKNBETA	Homo sapiens (Human)	889
A1A4S6	A1A4S6	RHG10_HUMAN	reviewed	Rho GTPase-activating protein 10 (GTPase regulator associated with focal adhesion kinase 2) (Graf-related protein 2) (Rho-type GTPase-activating protein 10)	ARHGAP10 GRAF2	Homo sapiens (Human)	786
P37173	P37173	TGFR2_HUMAN	reviewed	TGF-beta receptor type-2 (TGFR-2) (EC 2.7.11.30) (TGF-beta type II receptor) (Transforming growth factor-beta receptor type II) (TGF-beta receptor type II) (TbetaR-II)	TGFBR2	Homo sapiens (Human)	567
Q9NPP4	Q9NPP4	NLRC4_HUMAN	reviewed	NLR family CARD domain-containing protein 4 (CARD, LRR, and NACHT-containing protein) (Clan protein) (Caspase recruitment domain-containing protein 12) (Ice protease-activating factor) (Ipaf)	NLRC4 CARD12 CLAN CLAN1 IPAF UNQ6189/PRO20215	Homo sapiens (Human)	1024
Q06787	Q06787	FMR1_HUMAN	reviewed	Synaptic functional regulator FMR1 (Fragile X mental retardation protein 1) (FMRP) (Protein FMR-1)	FMR1	Homo sapiens (Human)	632
P51114	P51114	FXR1_HUMAN	reviewed	Fragile X mental retardation syndrome-related protein 1 (hFXR1p)	FXR1	Homo sapiens (Human)	621
P51116	P51116	FXR2_HUMAN	reviewed	Fragile X mental retardation syndrome-related protein 2	FXR2 FMR1L2	Homo sapiens (Human)	673
P43146	P43146	DCC_HUMAN	reviewed	Netrin receptor DCC (Colorectal cancer suppressor) (Immunoglobulin superfamily DCC subclass member 1) (Tumor suppressor protein DCC)	DCC IGDCC1	Homo sapiens (Human)	1447
Q8N9W6	Q8N9W6	BOLL_HUMAN	reviewed	Protein boule-like	BOLL BOULE	Homo sapiens (Human)	283
P33240	P33240	CSTF2_HUMAN	reviewed	Cleavage stimulation factor subunit 2 (CF-1 64 kDa subunit) (Cleavage stimulation factor 64 kDa subunit) (CSTF 64 kDa subunit) (CstF-64)	CSTF2	Homo sapiens (Human)	577
Q86U42	Q86U42	PABP2_HUMAN	reviewed	Polyadenylate-binding protein 2 (PABP-2) (Poly(A)-binding protein 2) (Nuclear poly(A)-binding protein 1) (Poly(A)-binding protein II) (PABII) (Polyadenylate-binding nuclear protein 1)	PABPN1 PAB2 PABP2	Homo sapiens (Human)	306
Q99684	Q99684	GFI1_HUMAN	reviewed	Zinc finger protein Gfi-1 (Growth factor independent protein 1) (Zinc finger protein 163)	GFI1 ZNF163	Homo sapiens (Human)	422
Q14526	Q14526	HIC1_HUMAN	reviewed	Hypermethylated in cancer 1 protein (Hic-1) (Zinc finger and BTB domain-containing protein 29)	HIC1 ZBTB29	Homo sapiens (Human)	733
Q96JB3	Q96JB3	HIC2_HUMAN	reviewed	Hypermethylated in cancer 2 protein (Hic-2) (HIC1-related gene on chromosome 22 protein) (Hic-3) (Zinc finger and BTB domain-containing protein 30)	HIC2 HRG22 KIAA1020 ZBTB30	Homo sapiens (Human)	615
Q92900	Q92900	RENT1_HUMAN	reviewed	Regulator of nonsense transcripts 1 (EC 3.6.4.-) (ATP-dependent helicase RENT1) (Nonsense mRNA reducing factor 1) (NORF1) (Up-frameshift suppressor 1 homolog) (hUpf1)	UPF1 KIAA0221 RENT1	Homo sapiens (Human)	1129
Q9BZI7	Q9BZI7	REN3B_HUMAN	reviewed	Regulator of nonsense transcripts 3B (Nonsense mRNA reducing factor 3B) (Up-frameshift suppressor 3 homolog B) (hUpf3B) (Up-frameshift suppressor 3 homolog on chromosome X) (hUpf3p-X)	UPF3B RENT3B UPF3X	Homo sapiens (Human)	483
Q9H1J1	Q9H1J1	REN3A_HUMAN	reviewed	Regulator of nonsense transcripts 3A (Nonsense mRNA reducing factor 3A) (Up-frameshift suppressor 3 homolog A) (hUpf3)	UPF3A RENT3A UPF3	Homo sapiens (Human)	476
P01909	P01909	DQA1_HUMAN	reviewed	HLA class II histocompatibility antigen, DQ alpha 1 chain (DC-1 alpha chain) (DC-alpha) (HLA-DCA) (MHC class II DQA1)	HLA-DQA1	Homo sapiens (Human)	254
Q07817	Q07817	B2CL1_HUMAN	reviewed	Bcl-2-like protein 1 (Bcl2-L-1) (Apoptosis regulator Bcl-X)	BCL2L1 BCL2L BCLX	Homo sapiens (Human)	233
Q8TEW0	Q8TEW0	PARD3_HUMAN	reviewed	Partitioning defective 3 homolog (PAR-3) (PARD-3) (Atypical PKC isotype-specific-interacting protein) (ASIP) (CTCL tumor antigen se2-5) (PAR3-alpha)	PARD3 PAR3 PAR3A	Homo sapiens (Human)	1356
P41743	P41743	KPCI_HUMAN	reviewed	Protein kinase C iota type (EC 2.7.11.13) (Atypical protein kinase C-lambda/iota) (PRKC-lambda/iota) (aPKC-lambda/iota) (nPKC-iota)	PRKCI DXS1179E	Homo sapiens (Human)	596
O75461	O75461	E2F6_HUMAN	reviewed	Transcription factor E2F6 (E2F-6)	E2F6	Homo sapiens (Human)	281
P20645	P20645	MPRD_HUMAN	reviewed	Cation-dependent mannose-6-phosphate receptor (CD Man-6-P receptor) (CD-MPR) (46 kDa mannose 6-phosphate receptor) (MPR 46)	M6PR MPR46 MPRD	Homo sapiens (Human)	277
P19878	P19878	NCF2_HUMAN	reviewed	Neutrophil cytosol factor 2 (NCF-2) (67 kDa neutrophil oxidase factor) (NADPH oxidase activator 2) (Neutrophil NADPH oxidase factor 2) (p67-phox)	NCF2 NOXA2 P67PHOX	Homo sapiens (Human)	526
O15350	O15350	P73_HUMAN	reviewed	Tumor protein p73 (p53-like transcription factor) (p53-related protein)	TP73 P73	Homo sapiens (Human)	636
O15553	O15553	MEFV_HUMAN	reviewed	Pyrin (Marenostrin)	MEFV MEF TRIM20	Homo sapiens (Human)	781
O43559	O43559	FRS3_HUMAN	reviewed	Fibroblast growth factor receptor substrate 3 (FGFR substrate 3) (FGFR-signaling adaptor SNT2) (Suc1-associated neurotrophic factor target 2) (SNT-2)	FRS3	Homo sapiens (Human)	492
P24864	P24864	CCNE1_HUMAN	reviewed	G1/S-specific cyclin-E1	CCNE1 CCNE	Homo sapiens (Human)	410
P47813	P47813	IF1AX_HUMAN	reviewed	Eukaryotic translation initiation factor 1A, X-chromosomal (eIF-1A X isoform) (Eukaryotic translation initiation factor 4C) (eIF-4C)	EIF1AX EIF1A EIF4C	Homo sapiens (Human)	144
Q01959	Q01959	SC6A3_HUMAN	reviewed	Sodium-dependent dopamine transporter (DA transporter) (DAT) (Solute carrier family 6 member 3)	SLC6A3 DAT1	Homo sapiens (Human)	620
P23975	P23975	SC6A2_HUMAN	reviewed	Sodium-dependent noradrenaline transporter (Norepinephrine transporter) (NET) (Solute carrier family 6 member 2)	SLC6A2 NAT1 NET1 SLC6A5	Homo sapiens (Human)	617
P31645	P31645	SC6A4_HUMAN	reviewed	Sodium-dependent serotonin transporter (SERT) (5HT transporter) (5HTT) (Solute carrier family 6 member 4)	SLC6A4 HTT SERT	Homo sapiens (Human)	630
Q12923	Q12923	PTN13_HUMAN	reviewed	Tyrosine-protein phosphatase non-receptor type 13 (EC 3.1.3.48) (Fas-associated protein-tyrosine phosphatase 1) (FAP-1) (PTP-BAS) (Protein-tyrosine phosphatase 1E) (PTP-E1) (hPTPE1) (Protein-tyrosine phosphatase PTPL1)	PTPN13 PNP1 PTP1E PTPL1	Homo sapiens (Human)	2485
O75074	O75074	LRP3_HUMAN	reviewed	Low-density lipoprotein receptor-related protein 3 (LRP-3) (105 kDa low-density lipoprotein receptor-related protein) (hLRp105)	LRP3	Homo sapiens (Human)	770
Q99523	Q99523	SORT_HUMAN	reviewed	Sortilin (100 kDa NT receptor) (Glycoprotein 95) (Gp95) (Neurotensin receptor 3) (NT3) (NTR3)	SORT1	Homo sapiens (Human)	831
P46937	P46937	YAP1_HUMAN	reviewed	Transcriptional coactivator YAP1 (Yes-associated protein 1) (Protein yorkie homolog) (Yes-associated protein YAP65 homolog)	YAP1 YAP65	Homo sapiens (Human)	504
Q13363	Q13363	CTBP1_HUMAN	reviewed	C-terminal-binding protein 1 (CtBP1) (EC 1.1.1.-)	CTBP1 CTBP	Homo sapiens (Human)	440
Q9UBU9	Q9UBU9	NXF1_HUMAN	reviewed	Nuclear RNA export factor 1 (Tip-associated protein) (Tip-associating protein) (mRNA export factor TAP)	NXF1 TAP	Homo sapiens (Human)	619
Q14118	Q14118	DAG1_HUMAN	reviewed	Dystroglycan (Dystrophin-associated glycoprotein 1) [Cleaved into: Alpha-dystroglycan (Alpha-DG); Beta-dystroglycan (Beta-DG)]	DAG1	Homo sapiens (Human)	895
P32121	P32121	ARRB2_HUMAN	reviewed	Beta-arrestin-2 (Arrestin beta-2) (Non-visual arrestin-3)	ARRB2 ARB2 ARR2	Homo sapiens (Human)	409
P27037	P27037	AVR2A_HUMAN	reviewed	Activin receptor type-2A (EC 2.7.11.30) (Activin receptor type IIA) (ACTR-IIA) (ACTRIIA)	ACVR2A ACVR2	Homo sapiens (Human)	513
Q06124	Q06124	PTN11_HUMAN	reviewed	Tyrosine-protein phosphatase non-receptor type 11 (EC 3.1.3.48) (Protein-tyrosine phosphatase 1D) (PTP-1D) (Protein-tyrosine phosphatase 2C) (PTP-2C) (SH-PTP2) (SHP-2) (Shp2) (SH-PTP3)	PTPN11 PTP2C SHPTP2	Homo sapiens (Human)	593
P08588	P08588	ADRB1_HUMAN	reviewed	Beta-1 adrenergic receptor (Beta-1 adrenoreceptor) (Beta-1 adrenoceptor)	ADRB1 ADRB1R B1AR	Homo sapiens (Human)	477
P01112	P01112	RASH_HUMAN	reviewed	GTPase HRas (H-Ras-1) (Ha-Ras) (Transforming protein p21) (c-H-ras) (p21ras) [Cleaved into: GTPase HRas, N-terminally processed]	HRAS HRAS1	Homo sapiens (Human)	189
P08922	P08922	ROS1_HUMAN	reviewed	Proto-oncogene tyrosine-protein kinase ROS (EC 2.7.10.1) (Proto-oncogene c-Ros) (Proto-oncogene c-Ros-1) (Receptor tyrosine kinase c-ros oncogene 1) (c-Ros receptor tyrosine kinase)	ROS1 MCF3 ROS	Homo sapiens (Human)	2347
Q13490	Q13490	BIRC2_HUMAN	reviewed	Baculoviral IAP repeat-containing protein 2 (EC 2.3.2.27) (Cellular inhibitor of apoptosis 1) (C-IAP1) (IAP homolog B) (Inhibitor of apoptosis protein 2) (hIAP-2) (hIAP2) (RING finger protein 48) (RING-type E3 ubiquitin transferase BIRC2) (TNFR2-TRAF-signaling complex protein 2)	BIRC2 API1 MIHB RNF48	Homo sapiens (Human)	618
O14908	O14908	GIPC1_HUMAN	reviewed	PDZ domain-containing protein GIPC1 (GAIP C-terminus-interacting protein) (RGS-GAIP-interacting protein) (RGS19-interacting protein 1) (Synectin) (Tax interaction protein 2) (TIP-2)	GIPC1 C19orf3 GIPC RGS19IP1	Homo sapiens (Human)	333
O15061	O15061	SYNEM_HUMAN	reviewed	Synemin (Desmuslin)	SYNM DMN KIAA0353 SYN	Homo sapiens (Human)	1565
P48357	P48357	LEPR_HUMAN	reviewed	Leptin receptor (LEP-R) (HuB219) (OB receptor) (OB-R) (CD antigen CD295)	LEPR DB OBR	Homo sapiens (Human)	1165
P55899	P55899	FCGRN_HUMAN	reviewed	IgG receptor FcRn large subunit p51 (FcRn) (IgG Fc fragment receptor transporter alpha chain) (Neonatal Fc receptor)	FCGRT FCRN	Homo sapiens (Human)	365
P55211	P55211	CASP9_HUMAN	reviewed	Caspase-9 (CASP-9) (EC 3.4.22.62) (Apoptotic protease Mch-6) (Apoptotic protease-activating factor 3) (APAF-3) (ICE-like apoptotic protease 6) (ICE-LAP6) [Cleaved into: Caspase-9 subunit p35; Caspase-9 subunit p10]	CASP9 MCH6	Homo sapiens (Human)	416
P55210	P55210	CASP7_HUMAN	reviewed	Caspase-7 (CASP-7) (EC 3.4.22.60) (Apoptotic protease Mch-3) (CMH-1) (ICE-like apoptotic protease 3) (ICE-LAP3) [Cleaved into: Caspase-7 subunit p20; Caspase-7 subunit p11]	CASP7 MCH3	Homo sapiens (Human)	303
Q14571	Q14571	ITPR2_HUMAN	reviewed	Inositol 1,4,5-trisphosphate receptor type 2 (IP3 receptor isoform 2) (IP3R 2) (InsP3R2) (Type 2 inositol 1,4,5-trisphosphate receptor) (Type 2 InsP3 receptor)	ITPR2	Homo sapiens (Human)	2701
Q8IUQ4	Q8IUQ4	SIAH1_HUMAN	reviewed	E3 ubiquitin-protein ligase SIAH1 (EC 2.3.2.27) (RING-type E3 ubiquitin transferase SIAH1) (Seven in absentia homolog 1) (Siah-1) (Siah-1a)	SIAH1 HUMSIAH	Homo sapiens (Human)	282
O43255	O43255	SIAH2_HUMAN	reviewed	E3 ubiquitin-protein ligase SIAH2 (EC 2.3.2.27) (RING-type E3 ubiquitin transferase SIAH2) (Seven in absentia homolog 2) (Siah-2) (hSiah2)	SIAH2	Homo sapiens (Human)	324
P21580	P21580	TNAP3_HUMAN	reviewed	Tumor necrosis factor alpha-induced protein 3 (TNF alpha-induced protein 3) (EC 2.3.2.-) (EC 3.4.19.12) (OTU domain-containing protein 7C) (Putative DNA-binding protein A20) (Zinc finger protein A20) [Cleaved into: A20p50; A20p37]	TNFAIP3 OTUD7C	Homo sapiens (Human)	790
O95490	O95490	AGRL2_HUMAN	reviewed	Adhesion G protein-coupled receptor L2 (Calcium-independent alpha-latrotoxin receptor 2) (CIRL-2) (Latrophilin homolog 1) (Latrophilin-2) (Lectomedin-1)	ADGRL2 KIAA0786 LEC1 LPHH1 LPHN2	Homo sapiens (Human)	1459
O60241	O60241	AGRB2_HUMAN	reviewed	Adhesion G protein-coupled receptor B2 (Brain-specific angiogenesis inhibitor 2)	ADGRB2 BAI2	Homo sapiens (Human)	1585
P22301	P22301	IL10_HUMAN	reviewed	Interleukin-10 (IL-10) (Cytokine synthesis inhibitory factor) (CSIF)	IL10	Homo sapiens (Human)	178
O75970	O75970	MPDZ_HUMAN	reviewed	Multiple PDZ domain protein (Multi-PDZ domain protein 1)	MPDZ MUPP1	Homo sapiens (Human)	2070
O14936	O14936	CSKP_HUMAN	reviewed	Peripheral plasma membrane protein CASK (hCASK) (EC 2.7.11.1) (Calcium/calmodulin-dependent serine protein kinase) (Protein lin-2 homolog)	CASK LIN2	Homo sapiens (Human)	926
P00451	P00451	FA8_HUMAN	reviewed	Coagulation factor VIII (Antihemophilic factor) (AHF) (Procoagulant component) [Cleaved into: Factor VIIIa heavy chain, 200 kDa isoform; Factor VIIIa heavy chain, 92 kDa isoform; Factor VIII B chain; Factor VIIIa light chain]	F8 F8C	Homo sapiens (Human)	2351
P01903	P01903	DRA_HUMAN	reviewed	HLA class II histocompatibility antigen, DR alpha chain (MHC class II antigen DRA)	HLA-DRA HLA-DRA1	Homo sapiens (Human)	254
P31946	P31946	1433B_HUMAN	reviewed	14-3-3 protein beta/alpha (Protein 1054) (Protein kinase C inhibitor protein 1) (KCIP-1) [Cleaved into: 14-3-3 protein beta/alpha, N-terminally processed]	YWHAB	Homo sapiens (Human)	246
Q13643	Q13643	FHL3_HUMAN	reviewed	Four and a half LIM domains protein 3 (FHL-3) (Skeletal muscle LIM-protein 2) (SLIM-2)	FHL3 SLIM2	Homo sapiens (Human)	280
P07949	P07949	RET_HUMAN	reviewed	Proto-oncogene tyrosine-protein kinase receptor Ret (EC 2.7.10.1) (Cadherin family member 12) (Proto-oncogene c-Ret) [Cleaved into: Soluble RET kinase fragment; Extracellular cell-membrane anchored RET cadherin 120 kDa fragment]	RET CDHF12 CDHR16 PTC RET51	Homo sapiens (Human)	1114
Q13285	Q13285	STF1_HUMAN	reviewed	Steroidogenic factor 1 (SF-1) (STF-1) (hSF-1) (Adrenal 4-binding protein) (Fushi tarazu factor homolog 1) (Nuclear receptor subfamily 5 group A member 1) (Steroid hormone receptor Ad4BP)	NR5A1 AD4BP FTZF1 SF1	Homo sapiens (Human)	461
P11474	P11474	ERR1_HUMAN	reviewed	Steroid hormone receptor ERR1 (Estrogen receptor-like 1) (Estrogen-related receptor alpha) (ERR-alpha) (Nuclear receptor subfamily 3 group B member 1)	ESRRA ERR1 ESRL1 NR3B1	Homo sapiens (Human)	423
P37088	P37088	SCNNA_HUMAN	reviewed	Amiloride-sensitive sodium channel subunit alpha (Alpha-NaCH) (Epithelial Na(+) channel subunit alpha) (Alpha-ENaC) (ENaCA) (Nonvoltage-gated sodium channel 1 subunit alpha) (SCNEA)	SCNN1A SCNN1	Homo sapiens (Human)	669
P60842	P60842	IF4A1_HUMAN	reviewed	Eukaryotic initiation factor 4A-I (eIF-4A-I) (eIF4A-I) (EC 3.6.4.13) (ATP-dependent RNA helicase eIF4A-1)	EIF4A1 DDX2A EIF4A	Homo sapiens (Human)	406
P22087	P22087	FBRL_HUMAN	reviewed	rRNA 2'-O-methyltransferase fibrillarin (EC 2.1.1.-) (34 kDa nucleolar scleroderma antigen) (Histone-glutamine methyltransferase)	FBL FIB1 FLRN	Homo sapiens (Human)	321
P27348	P27348	1433T_HUMAN	reviewed	14-3-3 protein theta (14-3-3 protein T-cell) (14-3-3 protein tau) (Protein HS1)	YWHAQ	Homo sapiens (Human)	245
Q8N6Y0	Q8N6Y0	USBP1_HUMAN	reviewed	Usher syndrome type-1C protein-binding protein 1 (USH1C-binding protein 1) (AIE-75-binding protein) (MCC-2) (Mutated in colon cancer protein 2)	USHBP1 AIEBP MCC2	Homo sapiens (Human)	703
P15863	P15863	PAX1_HUMAN	reviewed	Paired box protein Pax-1 (HuP48)	PAX1 HUP48	Homo sapiens (Human)	534
P23760	P23760	PAX3_HUMAN	reviewed	Paired box protein Pax-3 (HuP2)	PAX3 HUP2	Homo sapiens (Human)	479
Q9UQB8	Q9UQB8	BAIP2_HUMAN	reviewed	Brain-specific angiogenesis inhibitor 1-associated protein 2 (BAI-associated protein 2) (BAI1-associated protein 2) (Protein BAP2) (Fas ligand-associated factor 3) (FLAF3) (Insulin receptor substrate p53/p58) (IRS-58) (IRSp53/58) (Insulin receptor substrate protein of 53 kDa) (IRSp53) (Insulin receptor substrate p53)	BAIAP2	Homo sapiens (Human)	552
Q92558	Q92558	WASF1_HUMAN	reviewed	Wiskott-Aldrich syndrome protein family member 1 (WASP family protein member 1) (Protein WAVE-1) (Verprolin homology domain-containing protein 1)	WASF1 KIAA0269 SCAR1 WAVE1	Homo sapiens (Human)	559
O75914	O75914	PAK3_HUMAN	reviewed	Serine/threonine-protein kinase PAK 3 (EC 2.7.11.1) (Beta-PAK) (Oligophrenin-3) (p21-activated kinase 3) (PAK-3)	PAK3 OPHN3	Homo sapiens (Human)	559
