yourlist:M20200510216DA2B77BFBD2E6699CA9B6D1C41EB286EFE0C	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
Q8TDQ7-1	Q8TDQ7	GNPI2_HUMAN	reviewed	Glucosamine-6-phosphate isomerase 2 (EC 3.5.99.6) (Glucosamine-6-phosphate deaminase 2) (GNPDA 2) (GlcN6P deaminase 2) (Glucosamine-6-phosphate isomerase SB52)	GNPDA2 GNP2	Homo sapiens (Human)	276
Q8NEG0	Q8NEG0	FA71C_HUMAN	reviewed	Protein FAM71C	FAM71C	Homo sapiens (Human)	241
P49910	P49910	ZN165_HUMAN	reviewed	Zinc finger protein 165 (Cancer/testis antigen 53) (CT53) (LD65) (Zinc finger and SCAN domain-containing protein 7)	ZNF165 ZPF165 ZSCAN7	Homo sapiens (Human)	485
Q00526	Q00526	CDK3_HUMAN	reviewed	Cyclin-dependent kinase 3 (EC 2.7.11.22) (Cell division protein kinase 3)	CDK3 CDKN3	Homo sapiens (Human)	305
Q5QGT7	Q5QGT7	RTP2_HUMAN	reviewed	Receptor-transporting protein 2 (3CxxC-type zinc finger protein 2)	RTP2 Z3CXXC2	Homo sapiens (Human)	225
O15427	O15427	MOT4_HUMAN	reviewed	Monocarboxylate transporter 4 (MCT 4) (Solute carrier family 16 member 3)	SLC16A3 MCT4	Homo sapiens (Human)	465
Q99973-1	Q99973	TEP1_HUMAN	reviewed	Telomerase protein component 1 (Telomerase-associated protein 1) (Telomerase protein 1) (p240) (p80 telomerase homolog)	TEP1 TLP1 TP1	Homo sapiens (Human)	2627
P35711-4	P35711	SOX5_HUMAN	reviewed	Transcription factor SOX-5	SOX5	Homo sapiens (Human)	763
Q5T9G4-2	Q5T9G4	ARM12_HUMAN	reviewed	Armadillo repeat-containing protein 12	ARMC12 C6orf81	Homo sapiens (Human)	340
O75409	O75409	HYPM_HUMAN	reviewed	Huntingtin-interacting protein M (Histone H2A.P) (Huntingtin yeast partner M)	H2AP CXorf27 HYPM	Homo sapiens (Human)	117
O60239-1	O60239	3BP5_HUMAN	reviewed	SH3 domain-binding protein 5 (SH3BP-5) (SH3 domain-binding protein that preferentially associates with BTK)	SH3BP5 SAB	Homo sapiens (Human)	455
O14530-1	O14530	TXND9_HUMAN	reviewed	Thioredoxin domain-containing protein 9 (ATP-binding protein associated with cell differentiation) (Protein 1-4)	TXNDC9 APACD	Homo sapiens (Human)	226
Q05086-2	Q05086	UBE3A_HUMAN	reviewed	Ubiquitin-protein ligase E3A (EC 2.3.2.26) (E6AP ubiquitin-protein ligase) (HECT-type ubiquitin transferase E3A) (Human papillomavirus E6-associated protein) (Oncogenic protein-associated protein E6-AP) (Renal carcinoma antigen NY-REN-54)	UBE3A E6AP EPVE6AP HPVE6A	Homo sapiens (Human)	875
A0A1B0GWI1	A0A1B0GWI1	A0A1B0GWI1_HUMAN	unreviewed	Putative coiled-coil domain-containing protein 196	CCDC196	Homo sapiens (Human)	215
P31321	P31321	KAP1_HUMAN	reviewed	cAMP-dependent protein kinase type I-beta regulatory subunit	PRKAR1B	Homo sapiens (Human)	381
Q92903	Q92903	CDS1_HUMAN	reviewed	Phosphatidate cytidylyltransferase 1 (EC 2.7.7.41) (CDP-DAG synthase 1) (CDP-DG synthase 1) (CDP-diacylglycerol synthase 1) (CDS 1) (CDP-diglyceride pyrophosphorylase 1) (CDP-diglyceride synthase 1) (CTP:phosphatidate cytidylyltransferase 1)	CDS1 CDS	Homo sapiens (Human)	461
P19525-1	P19525	E2AK2_HUMAN	reviewed	Interferon-induced, double-stranded RNA-activated protein kinase (EC 2.7.11.1) (Eukaryotic translation initiation factor 2-alpha kinase 2) (eIF-2A protein kinase 2) (Interferon-inducible RNA-dependent protein kinase) (P1/eIF-2A protein kinase) (Protein kinase RNA-activated) (PKR) (Protein kinase R) (Tyrosine-protein kinase EIF2AK2) (EC 2.7.10.2) (p68 kinase)	EIF2AK2 PKR PRKR	Homo sapiens (Human)	551
Q9BYV2-1	Q9BYV2	TRI54_HUMAN	reviewed	Tripartite motif-containing protein 54 (Muscle-specific RING finger protein) (MuRF) (Muscle-specific RING finger protein 3) (MuRF-3) (MuRF3) (RING finger protein 30)	TRIM54 MURF MURF3 RNF30	Homo sapiens (Human)	358
Q496F6	Q496F6	CLM2_HUMAN	reviewed	CMRF35-like molecule 2 (CLM-2) (CD300 antigen-like family member E) (CMRF35-A5) (Immune receptor expressed on myeloid cells 2) (IREM-2) (Polymeric immunoglobulin receptor 2) (PIgR-2) (PIgR2) (Poly-Ig receptor 2) (CD antigen CD300e)	CD300E CD300LE CLM2 CMRF35A5 IREM2	Homo sapiens (Human)	205
Q86U10-1	Q86U10	LPP60_HUMAN	reviewed	60 kDa lysophospholipase (LysoLP) (EC 3.1.1.5) (Lysophospholipase-transacylase) [Includes: L-asparaginase (EC 3.5.1.1) (L-asparagine amidohydrolase); 1-alkyl-2-acetylglycerophosphocholine esterase (EC 3.1.1.47) (Platelet-activating factor acetylhydrolase) (PAF acetylhydrolase)]	ASPG C14orf76	Homo sapiens (Human)	573
P17028-1	P17028	ZNF24_HUMAN	reviewed	Zinc finger protein 24 (Retinoic acid suppression protein A) (RSG-A) (Zinc finger and SCAN domain-containing protein 3) (Zinc finger protein 191) (Zinc finger protein KOX17)	ZNF24 KOX17 ZNF191 ZSCAN3	Homo sapiens (Human)	368
P07510-2	P07510	ACHG_HUMAN	reviewed	Acetylcholine receptor subunit gamma	CHRNG ACHRG	Homo sapiens (Human)	517
Q8IV08	Q8IV08	PLD3_HUMAN	reviewed	5'-3' exonuclease PLD3 (EC 3.1.16.1) (Choline phosphatase 3) (HindIII K4L homolog) (Hu-K4) (Phosphatidylcholine-hydrolyzing phospholipase D3) (Phospholipase D3) (PLD 3)	PLD3	Homo sapiens (Human)	490
P02808-1	P02808	STAT_HUMAN	reviewed	Statherin	STATH	Homo sapiens (Human)	62
O95208-2	O95208	EPN2_HUMAN	reviewed	Epsin-2 (EPS-15-interacting protein 2)	EPN2 KIAA1065	Homo sapiens (Human)	641
Q9Y320-1	Q9Y320	TMX2_HUMAN	reviewed	Thioredoxin-related transmembrane protein 2 (Cell proliferation-inducing gene 26 protein) (Thioredoxin domain-containing protein 14)	TMX2 TXNDC14 CGI-31 My009 PIG26 PSEC0045 UNQ237/PRO270	Homo sapiens (Human)	296
Q15700-1	Q15700	DLG2_HUMAN	reviewed	Disks large homolog 2 (Channel-associated protein of synapse-110) (Chapsyn-110) (Postsynaptic density protein PSD-93)	DLG2	Homo sapiens (Human)	870
Q8N680	Q8N680	ZBTB2_HUMAN	reviewed	Zinc finger and BTB domain-containing protein 2	ZBTB2 KIAA1483 ZNF437	Homo sapiens (Human)	514
P54852	P54852	EMP3_HUMAN	reviewed	Epithelial membrane protein 3 (EMP-3) (Hematopoietic neural membrane protein 1) (HNMP-1) (Protein YMP)	EMP3 YMP	Homo sapiens (Human)	163
Q96SA4-1	Q96SA4	SERC2_HUMAN	reviewed	Serine incorporator 2 (Tumor differentially expressed protein 2-like)	SERINC2 TDE2L FKSG84 UNQ263/PRO300	Homo sapiens (Human)	455
Q16082	Q16082	HSPB2_HUMAN	reviewed	Heat shock protein beta-2 (HspB2) (DMPK-binding protein) (MKBP)	HSPB2	Homo sapiens (Human)	182
P48051	P48051	KCNJ6_HUMAN	reviewed	G protein-activated inward rectifier potassium channel 2 (GIRK-2) (BIR1) (Inward rectifier K(+) channel Kir3.2) (KATP-2) (Potassium channel, inwardly rectifying subfamily J member 6)	KCNJ6 GIRK2 KATP2 KCNJ7	Homo sapiens (Human)	423
J3KQU5	J3KQU5	J3KQU5_HUMAN	unreviewed	Ephrin type-B receptor 6	EPHB6	Homo sapiens (Human)	729
A0PK11	A0PK11	CLRN2_HUMAN	reviewed	Clarin-2	CLRN2	Homo sapiens (Human)	232
Q86UT8	Q86UT8	CCD84_HUMAN	reviewed	Coiled-coil domain-containing protein 84	CCDC84 DLNB14	Homo sapiens (Human)	332
P62699	P62699	YPEL5_HUMAN	reviewed	Protein yippee-like 5	YPEL5 CGI-127	Homo sapiens (Human)	121
Q14CN2-1	Q14CN2	CLCA4_HUMAN	reviewed	Calcium-activated chloride channel regulator 4 (EC 3.4.-.-) (Calcium-activated chloride channel family member 4) (hCLCA4) (Calcium-activated chloride channel protein 2) (CaCC-2) (hCaCC-2) (Chloride channel accessory 4) [Cleaved into: Calcium-activated chloride channel regulator 4, 110 kDa form; Calcium-activated chloride channel regulator 4, 30 kDa form]	CLCA4 CaCC2 UNQ562/PRO1124	Homo sapiens (Human)	919
Q9BUD6	Q9BUD6	SPON2_HUMAN	reviewed	Spondin-2 (Differentially expressed in cancerous and non-cancerous lung cells 1) (DIL-1) (Mindin)	SPON2 DIL1 UNQ435/PRO866	Homo sapiens (Human)	331
P58549	P58549	FXYD7_HUMAN	reviewed	FXYD domain-containing ion transport regulator 7	FXYD7	Homo sapiens (Human)	80
Q9H707	Q9H707	ZN552_HUMAN	reviewed	Zinc finger protein 552	ZNF552	Homo sapiens (Human)	407
Q5VXT5-1	Q5VXT5	SYPL2_HUMAN	reviewed	Synaptophysin-like protein 2	SYPL2	Homo sapiens (Human)	272
A0A087WWF1	A0A087WWF1	A0A087WWF1_HUMAN	unreviewed	Selenoprotein M	SELENOM	Homo sapiens (Human)	144
P54821-1	P54821	PRRX1_HUMAN	reviewed	Paired mesoderm homeobox protein 1 (Homeobox protein PHOX1) (Paired-related homeobox protein 1) (PRX-1)	PRRX1 PMX1	Homo sapiens (Human)	245
P24863-1	P24863	CCNC_HUMAN	reviewed	Cyclin-C (SRB11 homolog) (hSRB11)	CCNC	Homo sapiens (Human)	283
P20618	P20618	PSB1_HUMAN	reviewed	Proteasome subunit beta type-1 (EC 3.4.25.1) (Macropain subunit C5) (Multicatalytic endopeptidase complex subunit C5) (Proteasome component C5) (Proteasome gamma chain)	PSMB1 PSC5	Homo sapiens (Human)	241
P32969	P32969	RL9_HUMAN	reviewed	60S ribosomal protein L9 (Large ribosomal subunit protein uL6)	RPL9 OK/SW-cl.103; RPL9P7; RPL9P8; RPL9P9	Homo sapiens (Human)	192
Q96A25-1	Q96A25	T106A_HUMAN	reviewed	Transmembrane protein 106A	TMEM106A	Homo sapiens (Human)	262
P63172	P63172	DYLT1_HUMAN	reviewed	Dynein light chain Tctex-type 1 (Protein CW-1) (T-complex testis-specific protein 1 homolog)	DYNLT1 TCTEL1 TCTEX-1 TCTEX1	Homo sapiens (Human)	113
O95833	O95833	CLIC3_HUMAN	reviewed	Chloride intracellular channel protein 3	CLIC3	Homo sapiens (Human)	236
O15182	O15182	CETN3_HUMAN	reviewed	Centrin-3	CETN3 CEN3	Homo sapiens (Human)	167
Q7Z3Z2	Q7Z3Z2	RD3_HUMAN	reviewed	Protein RD3 (Retinal degeneration protein 3)	RD3 C1orf36	Homo sapiens (Human)	195
Q9H3H3-1	Q9H3H3	CK068_HUMAN	reviewed	UPF0696 protein C11orf68 (Basophilic leukemia-expressed protein Bles03) (Protein p5326)	C11orf68 BLES03	Homo sapiens (Human)	292
P50458	P50458	LHX2_HUMAN	reviewed	LIM/homeobox protein Lhx2 (Homeobox protein LH-2) (LIM homeobox protein 2)	LHX2 LH2	Homo sapiens (Human)	406
Q07021	Q07021	C1QBP_HUMAN	reviewed	Complement component 1 Q subcomponent-binding protein, mitochondrial (ASF/SF2-associated protein p32) (Glycoprotein gC1qBP) (C1qBP) (Hyaluronan-binding protein 1) (Mitochondrial matrix protein p32) (gC1q-R protein) (p33) (SF2AP32)	C1QBP GC1QBP HABP1 SF2P32	Homo sapiens (Human)	282
Q96BD8-1	Q96BD8	SKA1_HUMAN	reviewed	Spindle and kinetochore-associated protein 1	SKA1 C18orf24	Homo sapiens (Human)	255
P09683	P09683	SECR_HUMAN	reviewed	Secretin	SCT	Homo sapiens (Human)	121
P09493-10	P09493	TPM1_HUMAN	reviewed	Tropomyosin alpha-1 chain (Alpha-tropomyosin) (Tropomyosin-1)	TPM1 C15orf13 TMSA	Homo sapiens (Human)	284
Q13087-1	Q13087	PDIA2_HUMAN	reviewed	Protein disulfide-isomerase A2 (EC 5.3.4.1) (Pancreas-specific protein disulfide isomerase) (PDIp)	PDIA2 PDIP	Homo sapiens (Human)	525
Q15915	Q15915	ZIC1_HUMAN	reviewed	Zinc finger protein ZIC 1 (Zinc finger protein 201) (Zinc finger protein of the cerebellum 1)	ZIC1 ZIC ZNF201	Homo sapiens (Human)	447
P37235	P37235	HPCL1_HUMAN	reviewed	Hippocalcin-like protein 1 (Calcium-binding protein BDR-1) (HLP2) (Visinin-like protein 3) (VILIP-3)	HPCAL1 BDR1	Homo sapiens (Human)	193
Q15633-1	Q15633	TRBP2_HUMAN	reviewed	RISC-loading complex subunit TARBP2 (TAR RNA-binding protein 2) (Trans-activation-responsive RNA-binding protein)	TARBP2 TRBP	Homo sapiens (Human)	366
O60906	O60906	NSMA_HUMAN	reviewed	Sphingomyelin phosphodiesterase 2 (EC 3.1.4.12) (Lyso-platelet-activating factor-phospholipase C) (Lyso-PAF-PLC) (Neutral sphingomyelinase) (N-SMase) (nSMase)	SMPD2	Homo sapiens (Human)	423
O43143	O43143	DHX15_HUMAN	reviewed	Pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15 (EC 3.6.4.13) (ATP-dependent RNA helicase #46) (DEAH box protein 15)	DHX15 DBP1 DDX15	Homo sapiens (Human)	795
Q5T4T6-2	Q5T4T6	SYC2L_HUMAN	reviewed	Synaptonemal complex protein 2-like (SCP-2-like) (145 kDa nucleolar protein homolog) (hsNO145)	SYCP2L C6orf177 NO145	Homo sapiens (Human)	812
P21854	P21854	CD72_HUMAN	reviewed	B-cell differentiation antigen CD72 (Lyb-2) (CD antigen CD72)	CD72	Homo sapiens (Human)	359
H7BZ61	H7BZ61	H7BZ61_HUMAN	unreviewed	Immunoglobulin-like and fibronectin type III domain-containing protein 1 (Fragment)	IGFN1	Homo sapiens (Human)	1126
Q2KHM9-1	Q2KHM9	MOONR_HUMAN	reviewed	Protein moonraker (MNR) (OFD1- and FOPNL-interacting protein)	KIAA0753 MNR OFIP	Homo sapiens (Human)	967
O14966-1	O14966	RAB7L_HUMAN	reviewed	Ras-related protein Rab-7L1 (Rab-7-like protein 1) (Ras-related protein Rab-29)	RAB29 RAB7L1	Homo sapiens (Human)	203
P63165-1	P63165	SUMO1_HUMAN	reviewed	Small ubiquitin-related modifier 1 (SUMO-1) (GAP-modifying protein 1) (GMP1) (SMT3 homolog 3) (Sentrin) (Ubiquitin-homology domain protein PIC1) (Ubiquitin-like protein SMT3C) (Smt3C) (Ubiquitin-like protein UBL1)	SUMO1 SMT3C SMT3H3 UBL1 OK/SW-cl.43	Homo sapiens (Human)	101
O43304	O43304	S14L5_HUMAN	reviewed	SEC14-like protein 5	SEC14L5 KIAA0420	Homo sapiens (Human)	696
Q86U70-2	Q86U70	LDB1_HUMAN	reviewed	LIM domain-binding protein 1 (LDB-1) (Carboxyl-terminal LIM domain-binding protein 2) (CLIM-2) (LIM domain-binding factor CLIM2) (hLdb1) (Nuclear LIM interactor)	LDB1 CLIM2	Homo sapiens (Human)	411
Q8N3L3	Q8N3L3	TXLNB_HUMAN	reviewed	Beta-taxilin (Muscle-derived protein 77) (hMDP77)	TXLNB C6orf198 MDP77	Homo sapiens (Human)	684
A0A1B0GXK6	A0A1B0GXK6	A0A1B0GXK6_HUMAN	unreviewed	Disks large-associated protein 2	DLGAP2	Homo sapiens (Human)	961
P31274	P31274	HXC9_HUMAN	reviewed	Homeobox protein Hox-C9 (Homeobox protein Hox-3B)	HOXC9 HOX3B	Homo sapiens (Human)	260
Q9UI14	Q9UI14	PRAF1_HUMAN	reviewed	Prenylated Rab acceptor protein 1 (PRA1 family protein 1)	RABAC1 PRA1 PRAF1	Homo sapiens (Human)	185
O75928-2	O75928	PIAS2_HUMAN	reviewed	E3 SUMO-protein ligase PIAS2 (EC 2.3.2.-) (Androgen receptor-interacting protein 3) (ARIP3) (DAB2-interacting protein) (DIP) (E3 SUMO-protein transferase PIAS2) (Msx-interacting zinc finger protein) (Miz1) (PIAS-NY protein) (Protein inhibitor of activated STAT x) (Protein inhibitor of activated STAT2)	PIAS2 PIASX	Homo sapiens (Human)	621
P21815	P21815	SIAL_HUMAN	reviewed	Bone sialoprotein 2 (Bone sialoprotein II) (BSP II) (Cell-binding sialoprotein) (Integrin-binding sialoprotein)	IBSP BNSP	Homo sapiens (Human)	317
P56851	P56851	EP3B_HUMAN	reviewed	Epididymal secretory protein E3-beta (Human epididymis-specific protein 3-beta) (HE3-beta)	EDDM3B FAM12B HE3B UNQ6412/PRO21187	Homo sapiens (Human)	147
O43593-1	O43593	HAIR_HUMAN	reviewed	Lysine-specific demethylase hairless (EC 1.14.11.-)	HR	Homo sapiens (Human)	1189
O14917-1	O14917	PCD17_HUMAN	reviewed	Protocadherin-17 (Protocadherin-68)	PCDH17 PCDH68 PCH68	Homo sapiens (Human)	1159
P02533	P02533	K1C14_HUMAN	reviewed	Keratin, type I cytoskeletal 14 (Cytokeratin-14) (CK-14) (Keratin-14) (K14)	KRT14	Homo sapiens (Human)	472
Q2M2E3	Q2M2E3	ODFP4_HUMAN	reviewed	Outer dense fiber protein 4 (Outer dense fiber of sperm tails protein 4) (Testis-specific protein oppo 1) (hOPPO1)	ODF4 OPPO1	Homo sapiens (Human)	257
P00540	P00540	MOS_HUMAN	reviewed	Proto-oncogene serine/threonine-protein kinase mos (EC 2.7.11.1) (Oocyte maturation factor mos) (Proto-oncogene c-Mos)	MOS	Homo sapiens (Human)	346
Q96LT7-1	Q96LT7	CI072_HUMAN	reviewed	Guanine nucleotide exchange C9orf72	C9orf72	Homo sapiens (Human)	481
O00506-1	O00506	STK25_HUMAN	reviewed	Serine/threonine-protein kinase 25 (EC 2.7.11.1) (Ste20-like kinase) (Sterile 20/oxidant stress-response kinase 1) (SOK-1) (Ste20/oxidant stress response kinase 1)	STK25 SOK1 YSK1	Homo sapiens (Human)	426
Q96CD2-1	Q96CD2	COAC_HUMAN	reviewed	Phosphopantothenoylcysteine decarboxylase (PPC-DC) (EC 4.1.1.36) (CoaC)	PPCDC COAC MDS018 UNQ9365/PRO34154	Homo sapiens (Human)	204
Q96KP6-1	Q96KP6	TNIP3_HUMAN	reviewed	TNFAIP3-interacting protein 3 (A20-binding inhibitor of NF-kappa-B activation 3) (ABIN-3) (Listeria-induced gene protein)	TNIP3 ABIN3 LIND	Homo sapiens (Human)	325
P55197-2	P55197	AF10_HUMAN	reviewed	Protein AF-10 (ALL1-fused gene from chromosome 10 protein)	MLLT10 AF10	Homo sapiens (Human)	1068
Q08043	Q08043	ACTN3_HUMAN	reviewed	Alpha-actinin-3 (Alpha-actinin skeletal muscle isoform 3) (F-actin cross-linking protein)	ACTN3	Homo sapiens (Human)	901
Q6NZ36-4	Q6NZ36	FAP20_HUMAN	reviewed	Fanconi anemia core complex-associated protein 20 (FANCA-associated protein of 20 kDa) (Fanconi anemia-associated protein of 20 kDa)	FAAP20 C1orf86 FP7162	Homo sapiens (Human)	180
Q9UMX1-1	Q9UMX1	SUFU_HUMAN	reviewed	Suppressor of fused homolog (SUFUH)	SUFU UNQ650/PRO1280	Homo sapiens (Human)	484
P48443	P48443	RXRG_HUMAN	reviewed	Retinoic acid receptor RXR-gamma (Nuclear receptor subfamily 2 group B member 3) (Retinoid X receptor gamma)	RXRG NR2B3	Homo sapiens (Human)	463
Q9BWT7-1	Q9BWT7	CAR10_HUMAN	reviewed	Caspase recruitment domain-containing protein 10 (CARD-containing MAGUK protein 3) (Carma 3)	CARD10 CARMA3	Homo sapiens (Human)	1032
Q5RI15-1	Q5RI15	COX20_HUMAN	reviewed	Cytochrome c oxidase assembly protein COX20, mitochondrial	COX20 FAM36A	Homo sapiens (Human)	118
O75496	O75496	GEMI_HUMAN	reviewed	Geminin	GMNN	Homo sapiens (Human)	209
Q16853-1	Q16853	AOC3_HUMAN	reviewed	Membrane primary amine oxidase (EC 1.4.3.21) (Copper amine oxidase) (HPAO) (Semicarbazide-sensitive amine oxidase) (SSAO) (Vascular adhesion protein 1) (VAP-1)	AOC3 VAP1	Homo sapiens (Human)	763
Q9H2G4	Q9H2G4	TSYL2_HUMAN	reviewed	Testis-specific Y-encoded-like protein 2 (TSPY-like protein 2) (Cell division autoantigen 1) (Cutaneous T-cell lymphoma-associated antigen se20-4) (CTCL-associated antigen se20-4) (Differentially-expressed nucleolar TGF-beta1 target protein) (Nuclear protein of 79 kDa) (NP79)	TSPYL2 CDA1 DENTT TSPX HRIHFB2216	Homo sapiens (Human)	693
Q5SWW7	Q5SWW7	CJ055_HUMAN	reviewed	Uncharacterized protein C10orf55	C10orf55	Homo sapiens (Human)	151
Q96MV1	Q96MV1	TLCD4_HUMAN	reviewed	TLC domain-containing protein 4 (Transmembrane protein 56)	TLCD4 TMEM56	Homo sapiens (Human)	263
P35548	P35548	MSX2_HUMAN	reviewed	Homeobox protein MSX-2 (Homeobox protein Hox-8)	MSX2 HOX8	Homo sapiens (Human)	267
Q8N6Y0-1	Q8N6Y0	USBP1_HUMAN	reviewed	Usher syndrome type-1C protein-binding protein 1 (USH1C-binding protein 1) (AIE-75-binding protein) (MCC-2) (Mutated in colon cancer protein 2)	USHBP1 AIEBP MCC2	Homo sapiens (Human)	703
Q9H0L4	Q9H0L4	CSTFT_HUMAN	reviewed	Cleavage stimulation factor subunit 2 tau variant (CF-1 64 kDa subunit tau variant) (Cleavage stimulation factor 64 kDa subunit tau variant) (CSTF 64 kDa subunit tau variant) (TauCstF-64)	CSTF2T KIAA0689	Homo sapiens (Human)	616
Q14353-1	Q14353	GAMT_HUMAN	reviewed	Guanidinoacetate N-methyltransferase (EC 2.1.1.2)	GAMT	Homo sapiens (Human)	236
P35232-1	P35232	PHB_HUMAN	reviewed	Prohibitin	PHB	Homo sapiens (Human)	272
Q8N6M3	Q8N6M3	FITM2_HUMAN	reviewed	Fat storage-inducing transmembrane protein 2 (Fat-inducing protein 2)	FITM2 C20orf142 FIT2	Homo sapiens (Human)	262
O95995-1	O95995	DRC4_HUMAN	reviewed	Dynein regulatory complex subunit 4 (Growth arrest-specific protein 11) (GAS-11) (Growth arrest-specific protein 8) (GAS-8)	GAS8 DRC4 GAS11	Homo sapiens (Human)	478
A0A0C4DGV1	A0A0C4DGV1	A0A0C4DGV1_HUMAN	unreviewed	Myelin expression factor 2	MYEF2	Homo sapiens (Human)	211
Q58EX7-1	Q58EX7	PKHG4_HUMAN	reviewed	Puratrophin-1 (Pleckstrin homology domain-containing family G member 4) (PH domain-containing family G member 4) (Purkinje cell atrophy-associated protein 1)	PLEKHG4 PRTPHN1	Homo sapiens (Human)	1191
P58511	P58511	SI11A_HUMAN	reviewed	Small integral membrane protein 11A	SMIM11A C21orf51 FAM165B SMIM11	Homo sapiens (Human)	58
A0A087X2D5	A0A087X2D5	A0A087X2D5_HUMAN	unreviewed	39S ribosomal protein L45, mitochondrial	MRPL45	Homo sapiens (Human)	306
Q16512-1	Q16512	PKN1_HUMAN	reviewed	Serine/threonine-protein kinase N1 (EC 2.7.11.13) (Protease-activated kinase 1) (PAK-1) (Protein kinase C-like 1) (Protein kinase C-like PKN) (Protein kinase PKN-alpha) (Protein-kinase C-related kinase 1) (Serine-threonine protein kinase N)	PKN1 PAK1 PKN PRK1 PRKCL1	Homo sapiens (Human)	942
Q5VUG0	Q5VUG0	SMBT2_HUMAN	reviewed	Scm-like with four MBT domains protein 2 (Scm-like with 4 MBT domains protein 2)	SFMBT2 KIAA1617	Homo sapiens (Human)	894
Q5W0B7	Q5W0B7	TM236_HUMAN	reviewed	Transmembrane protein 236	TMEM236 FAM23A FAM23B	Homo sapiens (Human)	351
P60033	P60033	CD81_HUMAN	reviewed	CD81 antigen (26 kDa cell surface protein TAPA-1) (Target of the antiproliferative antibody 1) (Tetraspanin-28) (Tspan-28) (CD antigen CD81)	CD81 TAPA1 TSPAN28	Homo sapiens (Human)	236
Q06587-1	Q06587	RING1_HUMAN	reviewed	E3 ubiquitin-protein ligase RING1 (EC 2.3.2.27) (Polycomb complex protein RING1) (RING finger protein 1) (RING-type E3 ubiquitin transferase RING1) (Really interesting new gene 1 protein)	RING1 RNF1	Homo sapiens (Human)	406
Q9H0I2-1	Q9H0I2	ENKD1_HUMAN	reviewed	Enkurin domain-containing protein 1	ENKD1 C16orf48 UNQ6410/PRO21183	Homo sapiens (Human)	346
Q86SG2-1	Q86SG2	ANR23_HUMAN	reviewed	Ankyrin repeat domain-containing protein 23 (Diabetes-related ankyrin repeat protein) (Muscle ankyrin repeat protein 3)	ANKRD23 DARP	Homo sapiens (Human)	305
Q8N3G9-1	Q8N3G9	TM130_HUMAN	reviewed	Transmembrane protein 130	TMEM130 UNQ719/PRO1383	Homo sapiens (Human)	435
P03999	P03999	OPSB_HUMAN	reviewed	Short-wave-sensitive opsin 1 (Blue cone photoreceptor pigment) (Blue-sensitive opsin) (BOP)	OPN1SW BCP	Homo sapiens (Human)	348
Q96CW1-1	Q96CW1	AP2M1_HUMAN	reviewed	AP-2 complex subunit mu (AP-2 mu chain) (Adaptin-mu2) (Adaptor protein complex AP-2 subunit mu) (Adaptor-related protein complex 2 subunit mu) (Clathrin assembly protein complex 2 mu medium chain) (Clathrin coat assembly protein AP50) (Clathrin coat-associated protein AP50) (HA2 50 kDa subunit) (Plasma membrane adaptor AP-2 50 kDa protein)	AP2M1 CLAPM1 KIAA0109	Homo sapiens (Human)	435
Q2KHN1	Q2KHN1	RN151_HUMAN	reviewed	RING finger protein 151	RNF151	Homo sapiens (Human)	245
Q8N7U7-1	Q8N7U7	TPRX1_HUMAN	reviewed	Tetra-peptide repeat homeobox protein 1	TPRX1	Homo sapiens (Human)	411
Q86W54-2	Q86W54	SPA24_HUMAN	reviewed	Spermatogenesis-associated protein 24 (Testis protein T6441 homolog)	SPATA24	Homo sapiens (Human)	205
A0A0C4DFT7	A0A0C4DFT7	A0A0C4DFT7_HUMAN	unreviewed	Glycophorin	GYPA	Homo sapiens (Human)	150
P57739	P57739	CLD2_HUMAN	reviewed	Claudin-2 (SP82)	CLDN2 PSEC0059 SP82 UNQ705/PRO1356	Homo sapiens (Human)	230
Q9H7E9-1	Q9H7E9	CH033_HUMAN	reviewed	UPF0488 protein C8orf33	C8orf33	Homo sapiens (Human)	229
Q9UJC3-1	Q9UJC3	HOOK1_HUMAN	reviewed	Protein Hook homolog 1 (h-hook1) (hHK1)	HOOK1	Homo sapiens (Human)	728
O43566-7	O43566	RGS14_HUMAN	reviewed	Regulator of G-protein signaling 14 (RGS14)	RGS14	Homo sapiens (Human)	566
Q3SYB3	Q3SYB3	FX4L6_HUMAN	reviewed	Forkhead box protein D4-like 6 (FOXD4-like 6)	FOXD4L6	Homo sapiens (Human)	417
Q96DX7	Q96DX7	TRI44_HUMAN	reviewed	Tripartite motif-containing protein 44 (Protein DIPB)	TRIM44 DIPB	Homo sapiens (Human)	344
Q8NHQ9-1	Q8NHQ9	DDX55_HUMAN	reviewed	ATP-dependent RNA helicase DDX55 (EC 3.6.4.13) (DEAD box protein 55)	DDX55 KIAA1595	Homo sapiens (Human)	600
Q8TB37-1	Q8TB37	NUBPL_HUMAN	reviewed	Iron-sulfur protein NUBPL (IND1 homolog) (Nucleotide-binding protein-like) (huInd1)	NUBPL C14orf127	Homo sapiens (Human)	319
Q96HB5-1	Q96HB5	CC120_HUMAN	reviewed	Coiled-coil domain-containing protein 120	CCDC120 JM11	Homo sapiens (Human)	630
P56378-1	P56378	ATP68_HUMAN	reviewed	ATP synthase subunit ATP5MPL, mitochondrial (6.8 kDa mitochondrial proteolipid protein) (MLQ) (ATP synthase membrane subunit 6.8PL)	ATP5MPL C14orf2 MP68 PRO1574	Homo sapiens (Human)	58
